IDNO,Name,Title,Date,Venue,War,Region,Afghanistan,Iran,NorthKorea,Russia,Syria,Sudan,Kosovo,Libya,OpposeSupport,PartyAffiliation,Month,Day,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,ZWC,ZWPS,ZSixltr,ZDic,Zfunct,Zpronoun,Zppron,Zi,Zwe,Zyou,Zshehe,Zthey,Zipron,Zarticle,Zverb,Zauxverb,Zpast,Zpresent,Zfuture,Zadverb,Zpreps,Zconj,Znegate,Zquant,Znumber,Zswear,Zsocial,Zfamily,Zfriend,Zhumans,Zaffect,Zposemo,Znegemo,Zanx,Zanger,Zsad,Zcogmech,Zinsight,Zcause,Zdiscrep,Ztentat,Zcertain,Zinhib,Zincl,Zexcl,Zpercept,Zsee,Zhear,Zfeel,Zbio,Zbody,Zhealth,Zsexual,Zingest,Zrelativ,Zmotion,Zspace,Ztime,Zwork,Zachieve,Zleisure,Zhome,Zmoney,Zrelig,Zdeath,PsychDistance,Honesty,Status,CatThink,ComplexThink,CogProcess
17,Akaka,Senator,4/10/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,4,10,2,625,19.53,39.68,65.28,37.76,5.28,2.88,0.32,2.24,0,0,0.32,2.4,7.36,8,4.96,1.44,3.68,0.96,1.12,12.32,5.6,0.48,1.92,0.16,0,4.96,0,0.16,0.48,6.4,2.56,3.84,0.32,2.72,0.64,16.32,2.08,2.4,1.44,1.92,1.28,1.76,5.76,1.76,0.32,0.16,0,0.16,0.16,0,0.16,0,0,12.16,0.96,7.2,4,4.96,3.68,0.64,0,0.16,0.16,0.48,0,0,0,7.04,5.76,0,0,0.48,0,1.76,0,1.12,0,0,16.16,-0.255788344,0.203167177,1.919734785,-2.078171648,-1.87932682,-1.787961687,-1.3494464,-1.186581163,-0.13248497,-0.601399253,-0.780576336,-0.594732509,-1.690199437,0.036445404,-1.229798704,-1.189973791,-0.337319744,-1.314202346,-0.411291731,-1.285468804,-0.216631201,0.251923878,-0.843463688,-0.065399438,-0.890135927,-0.152946216,-1.345414469,-0.35597421,-0.133421264,-0.877081396,0.19964144,-0.430819161,0.656478978,-0.258887096,0.895826323,0.858283568,0.070076026,-0.122122653,0.722253571,-0.187771766,0.044451883,-0.17813001,0.829933627,0.292984014,-0.269679848,-1.114657556,-0.406317554,-1.047789163,-0.03649119,-0.691463496,-0.694261308,-0.156271231,-0.332793442,-0.38229152,0.186372635,-1.025594691,0.775414978,0.134520571,1.415912643,0.845274831,1.111658376,-0.745577071,-0.585249724,-0.166357965,-0.147790376,4.644735463,4.160972142,0.452696941,2.969347692,-0.350905577,0.600130918
431,Akaka,Senator,10/10/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,10,2,2333,21.6,35.62,69.14,42.99,7.33,3.51,0.43,2.06,0,0.51,0.51,3.81,8.02,9.43,6.56,1.16,4.89,1.46,1.93,12.17,4.71,0.94,2.14,1.03,0,5.57,0.04,0.17,0.56,7.07,2.49,4.54,0.3,3.51,0.17,13.97,1.37,1.89,1.54,1.84,1.71,1.24,3.86,1.93,0.43,0.17,0.17,0.04,0.47,0.13,0.3,0,0.04,10.42,1.03,5.7,3.43,4.33,3.3,0.21,0.26,0.86,0,1.37,0.04,0.04,0,5.74,5.06,0.09,0.13,0.26,0,0.9,0,3.56,0.04,0.34,16.16,1.248043608,0.637523372,1.217595418,-1.368054991,-1.028596692,-1.234734094,-1.117264379,-1.111146358,-0.248415023,-0.601399253,-0.02635498,-0.345053335,-0.886141336,0.442560676,-0.764691992,-0.445994344,-0.583632036,-0.840402224,0.204832734,-0.721710715,-0.29713082,-0.391851333,-0.278146592,0.183931527,0.788920402,-0.152946216,-1.134168481,-0.185227579,-0.099552212,-0.796499557,0.531323353,-0.480799179,1.091081403,-0.297867329,1.538424114,-0.361746193,-0.686967045,-0.761398414,0.116555289,-0.082131141,-0.026924011,0.375321356,0.159541792,-0.902526751,-0.113546841,-0.988754344,-0.380290915,-0.809476914,-0.544331605,-0.058165554,-0.229266067,0.317366942,-0.332793442,-0.129260814,-0.580815979,-0.939559197,-0.185674411,-0.281521832,0.945174966,0.538531353,-0.191326502,0.139622304,0.388892772,-0.504388368,1.154509437,3.693835817,1.440734206,0.261332082,2.127717266,0.111662233,-0.644843125
502,Allard,Senator,10/7/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,7,2,2219,18.49,30.01,71.43,44.75,10.68,5.77,2.07,2.07,0,1.17,0.45,4.91,7.21,11.63,6.62,0.77,7.35,1.22,2.57,11.63,4.69,1.04,1.71,0.5,0,7.26,0,0.09,1.13,4.46,1.98,2.34,0.59,1.17,0.23,15.37,2.7,2.21,1.89,1.76,1.04,0.99,4.73,1.26,1.67,0.41,0.72,0.05,0.59,0.18,0.14,0.05,0.23,12.48,1.89,6.13,4.46,3.15,2.75,0.09,0.23,0.32,0.09,0.18,0.09,0,0.05,6.58,5.59,0.32,0,0.14,0,0.27,0,3.15,0.09,0,16.22,1.14767075,-0.01506009,0.247397919,-0.946768166,-0.742308924,-0.330679247,-0.284357445,0.013518009,-0.241974464,-0.601399253,0.949696187,-0.42389939,-0.258861967,-0.055853522,-0.049143204,-0.418095115,-0.926709872,0.122860833,-0.090907009,-0.276272225,-0.586929448,-0.406318192,-0.155251571,-0.303397177,-0.233952994,-0.152946216,-0.548913202,-0.35597421,-0.370504625,-0.222353952,-0.760750963,-0.844939316,-0.274811932,0.267346048,-0.364966813,-0.205997713,-0.235962662,0.436118153,0.49660127,0.287611045,-0.098299905,-0.487033098,-0.162761975,-0.355108664,-0.728894574,0.43051822,0.244348411,-0.038466699,-0.50201157,0.186982036,-0.050421743,-0.223933827,0.052643361,1.072635037,0.327464794,0.117448302,0.08983788,0.47027409,0.063475826,0.09456053,-0.554950189,0.037483914,-0.362588582,-0.314246266,-0.586767841,-0.23244549,2.100986309,-0.856891727,-0.346241846,-0.017696341,0.932719423
361,AllenVA,Senator,10/7/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,7,2,2284,22.39,35.46,72.59,45.58,8.8,5.04,1.66,2.15,0,0.74,0.48,3.77,8.1,9.41,6.39,0.48,6.39,1.23,2.5,11.69,6.61,1.01,2.1,0.39,0,6.79,0.09,0.09,0.74,6.09,3.42,2.67,0.53,1.31,0.35,17.78,3.37,2.36,1.4,1.49,1.75,1.44,5.47,2.06,0.61,0.18,0.26,0.04,0.53,0.31,0.13,0.09,0,10.16,1.49,5.56,2.76,3.33,3.81,0.61,0.09,0.22,0.13,0.26,0.13,0.13,0,5.6,5.52,0.09,0.09,0.09,0,0.31,0,0.74,0,0.04,12.48,1.204900888,0.803292162,1.189924901,-0.733365232,-0.607298215,-0.83802943,-0.553393755,-0.267648082,-0.190449996,-0.601399253,0.313784063,-0.384476363,-0.908951495,0.491786769,-0.771196981,-0.52504216,-1.181819032,-0.253046702,-0.07858452,-0.32499206,-0.5547296,0.982500242,-0.192120077,0.138598624,-0.446247472,-0.152946216,-0.711676504,0.02820571,-0.370504625,-0.615190418,0.046176675,0.18322107,-0.069927932,0.150405349,-0.251088724,0.105499247,0.540409168,1.039378378,0.674747824,-0.230028015,-0.339193547,0.426805204,0.417384805,0.110511319,0.005848988,-0.782730908,-0.354264277,-0.683311606,-0.544331605,0.064408241,0.414573498,-0.257765125,0.360992804,-0.38229152,-0.695453358,-0.374183093,-0.275376088,-0.770554131,0.197972305,0.950213389,1.020752454,-0.439161903,-0.501751796,-0.229738666,-0.469707184,2.43243447,4.877393563,-0.524201167,1.898179051,3.203136198,1.714126201
3,Ashcroft,Senator,2/27/1998,1,1,1,0,0,0,0,0,0,0,0, ,0,2,27,98,527,15.97,30.17,68.88,43.64,6.45,3.98,0.38,2.09,0,1.52,0,2.47,9.3,8.54,6.83,1.14,5.5,0.57,1.52,13.66,4.17,1.52,1.52,0.19,0,5.69,0,0,0.95,8.73,4.93,3.8,0.57,2.28,0.57,11.2,0.57,1.33,0.95,1.9,0.95,0.38,4.55,1.9,2.28,0.57,0.38,1.14,0.19,0,0.19,0,0,10.25,0.95,6.07,2.85,4.36,3.98,0,0.38,0.57,0.57,0.57,0.19,0,0,6.64,6.07,0.57,0,0.57,0,0.57,0,3.42,0,0,17.84,-0.342073784,-0.543841545,0.275068436,-1.415886683,-0.922865414,-1.472217158,-0.94404922,-1.145434906,-0.229093347,-0.601399253,1.467299079,-1.015244801,-1.650281659,1.230178173,-1.054164001,-0.320447813,-0.601225771,-0.601544312,-0.891868813,-1.007069748,0.502498729,-0.782456518,0.43464453,-0.518728465,-0.832237433,-0.152946216,-1.092611893,-0.35597421,-0.675326089,-0.40366309,1.353102419,1.261361474,0.631644554,0.228365815,0.537923755,0.676577008,-1.579311431,-1.481709131,-0.548525178,-0.705410826,0.026607909,-0.602871756,-0.949183166,-0.468367578,-0.141099724,1.128708756,0.660774628,-0.515091196,4.110872194,-0.630176598,-0.694261308,-0.054777336,-0.332793442,-0.38229152,-0.655771188,-1.037885476,0.051394305,-0.704863225,0.967591046,1.087440735,-0.827667954,0.548175861,-0.014680548,0.699844942,-0.016097136,3.957636652,-2.773879932,0.314942306,3.061909339,-2.594619988,-2.030234309
4,Bayh,Senator,10/2/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,2,2,325,18.06,29.54,79.38,48.62,12.62,8.31,3.38,3.38,0,0.92,0.62,4.31,6.77,12.62,8,0.31,10.46,0.92,1.85,12.62,4.62,1.54,1.54,0.62,0,7.38,0,0.92,0.31,7.08,3.38,3.69,0.62,1.85,0.62,20,0.92,4.92,2.77,2.46,1.85,1.85,5.23,3.08,0.62,0,0.31,0.31,0.62,0.31,0.31,0,0,8,2.15,4.62,1.23,4.62,4,0,0,0.31,0,0.31,0,0.31,0,5.54,6.77,0,0,0,0,0.31,0,0,0,0,12.62,-0.519927446,-0.105288672,0.166115776,0.5157778,-0.112801161,0.192862962,0.651741499,0.911877961,0.6017387,-0.601399253,0.579979836,-0.200502235,-0.60101435,-0.326597036,0.272853751,0.223587158,-1.33136578,1.340644616,-0.460581688,-0.777390527,-0.055631963,-0.456952197,0.459223534,-0.496062013,-0.002359017,-0.152946216,-0.507356614,-0.35597421,2.440626657,-1.048317805,0.536273829,0.154661059,0.563349887,0.325816397,0.188155337,0.806367408,1.25557326,-1.166573192,3.715115673,1.217248541,0.526239167,0.555514824,0.945962983,-0.040500567,0.94264703,-0.771285161,-0.822743771,-0.613219768,0.598309328,0.248268934,0.414573498,0.35119824,-0.332793442,-0.38229152,-1.64782543,0.437008708,-0.877658772,-1.88729953,1.161863738,1.103585128,-0.827667954,-0.745577071,-0.376504904,-0.504388368,-0.396544273,-3.630252379,-0.820603498,-0.911538514,-0.488966974,3.428672743,2.548542481
369,Bayh,Senator,10/8/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,8,2,2257,19.13,28.62,77.4,51.09,16.17,10.1,3.9,4.74,0.22,1.02,0.22,6.07,6.73,11.79,6.87,1.51,7.4,1.28,2.79,11.7,5.72,1.33,1.68,0.4,0,10.19,0,0.71,0.58,7.71,4.08,3.63,0.58,1.77,0.44,18.96,3.5,2.39,2.04,2.04,1.28,1.2,6.16,2.26,1.06,0.09,0.66,0.31,0.8,0.49,0.27,0,0.04,8.82,1.64,3.99,2.75,1.86,3.01,0.13,0.27,0.04,0.18,0.71,0.04,0.04,0,5.41,5.32,0.4,0.18,0.58,0,0.22,0,0.35,0,0.13,12.58,1.181128369,0.119233613,0.007010303,0.151521069,0.288977695,1.150891233,1.311433274,1.268478859,1.477654658,-0.423830176,0.727866377,-0.7261426,0.402632641,-0.351210083,0.002896708,-0.301848326,-0.275741671,0.14243935,-0.016972073,-0.123152745,-0.549362959,0.33872503,0.20114399,-0.337396854,-0.426947974,-0.152946216,0.465760151,-0.35597421,1.729376573,-0.776354097,0.848153836,0.654461246,0.526098251,0.247855931,0.123082143,0.339121968,0.920541433,1.156428869,0.710377134,0.446071982,0.151515724,-0.17813001,0.107973189,0.544670491,0.189534879,-0.267672316,-0.588504024,-0.122576904,0.598309328,0.615990319,1.058413062,0.215873048,-0.332793442,-0.129260814,-1.286276773,-0.18982132,-1.281316316,-0.777853121,-0.900415607,0.304437647,-0.433742293,0.173668433,-0.752245581,-0.124104165,0.188759014,-2.20118997,0.56664127,-0.214654377,-0.896459447,2.170773024,1.866806004
1,Bennett,Senator,1/28/2003,1,1,1,0,0,0,0,0,0,0,0, ,0,1,28,3,1401,16.1,23.7,79.37,53.96,14.06,7.42,2.64,1.78,0,2.21,0.79,6.64,7.14,15.56,10.35,2.64,8.85,2.14,3.35,11.49,5.42,2.43,1.43,0.64,0,7.78,0,0.07,0.43,3.85,2.07,1.78,0.14,0.57,0.64,18.84,3.71,2.21,2.07,3.07,1.86,0.64,5.07,3,0.93,0.21,0.71,0,0.36,0.29,0.07,0,0,13.85,2.64,7.28,4.21,2.78,2.28,0.36,0.07,0.29,0.29,0.14,0.14,0.14,0,6.14,5.07,0.57,0.29,0.43,0,0.14,0,0.86,0,0,13.49,0.427451465,-0.516563137,-0.843858092,0.513938119,0.755821953,0.581471613,0.323738326,0.404407454,-0.428750661,-0.601399253,2.487716208,0.02289492,0.727677405,-0.098926353,1.229087131,1.316306971,0.718304365,0.710216355,1.042762006,0.266605934,-0.662062426,0.12172215,1.55298922,-0.620727496,0.036239979,-0.152946216,-0.368834655,-0.35597421,-0.438242728,-0.927445046,-1.062730017,-0.780679292,-0.622493872,-0.609709191,-0.853015769,0.858283568,0.881883915,1.345510433,0.49660127,0.477764169,1.070480358,0.568385786,-0.613987248,-0.141175158,0.869172674,-0.41646702,-0.276184361,-0.052485066,-0.713611743,-0.282884179,0.343035768,-0.460752913,-0.332793442,-0.38229152,0.931515599,1.039257166,0.826673079,0.287799351,-0.212989159,-0.284832719,0.263203106,-0.507254162,-0.404337546,0.108291737,-0.64529817,-2.535172424,3.252919625,-1.434557368,-2.833934001,4.010607768,1.842111702
7,Bennett,Senator,3/6/2003,1,1,1,0,0,0,0,0,0,0,0, ,0,3,6,3,1409,22.02,28.96,75.87,52.31,11.92,5.61,0.99,2.91,0,0.64,1.06,6.32,8.02,11.07,8.59,2.56,5.46,1.77,2.98,13.63,4.54,1.77,1.77,0.71,0,8.45,0.21,0,0.71,5.96,2.7,3.19,0.57,2.27,0.07,14.98,1.63,1.49,1.49,2.34,1.49,0.92,5.04,2.7,1.49,0.35,0.64,0.28,0.35,0.14,0.14,0,0.07,13.34,2.77,6.03,4.76,2.48,3.69,0.5,0,0.5,0.21,0.92,0.07,0,0.07,4.54,6.03,0.07,0.21,0.57,0,0.07,0,0.35,0,0,11.85,0.434495175,0.725653615,0.065810152,-0.129950041,0.48742717,0.003955979,-0.343324307,-0.727114623,0.29903245,-0.601399253,0.165897523,0.377702167,0.545196134,0.442560676,-0.231282895,0.497929579,0.647929424,-0.617207126,0.586829902,0.009086807,0.486398805,-0.514819632,0.741882082,-0.235397823,0.171336465,-0.152946216,-0.136810373,0.540445603,-0.675326089,-0.645408608,-0.018179517,-0.330859123,0.252919584,0.228365815,0.529789606,-0.621326994,-0.361599598,-0.527297431,-0.358502188,-0.134951453,0.419175326,0.092160192,-0.25300703,-0.160051644,0.593643838,0.224494783,0.088188579,-0.150613639,0.471349224,-0.303313145,-0.193497202,-0.223933827,-0.332793442,0.060512215,0.70664997,1.19903737,0.025765254,0.689243776,-0.437149957,0.853347028,0.687430741,-0.745577071,-0.112094798,-0.060723464,0.49604324,1.987644029,2.162981132,0.42474782,1.226052528,0.820611928,-0.885799619
358,Bennett,Senator,10/7/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,7,2,1972,22.93,24.9,79.61,53.25,13.44,6.85,2.64,2.23,0.05,1.52,0.41,6.59,8.22,13.13,9.13,3.6,5.73,2.03,4.11,11.26,5.58,0.91,2.38,0.56,0.05,8.62,0.05,0.2,0.51,3.8,2.28,1.47,0.05,0.96,0.1,18.61,3.5,2.48,1.37,2.54,2.13,0.91,5.12,2.03,1.98,0.76,0.91,0.25,0.91,0.61,0.15,0.05,0.15,12.02,1.32,6.29,4.01,3.25,2.94,0.2,0.35,0.15,0.05,0.3,0.15,0,0,4.36,4.56,0.81,0.35,0.2,0,0.46,0,1.83,0,0,12.58,0.930196222,0.916602474,-0.636329215,0.55809045,0.640330865,0.414153999,0.113668878,0.404407454,-0.138925528,-0.561042644,1.467299079,-0.476463427,0.699164706,0.56562591,0.43873097,0.749022642,1.562803652,-0.511483132,0.907214624,0.795564141,-0.785495175,0.237457019,-0.315015098,0.455928943,-0.118156006,0.970516882,-0.07793854,-0.142540921,0.002054942,-0.846863206,-1.087482399,-0.630739235,-0.81496066,-0.785120239,-0.535783948,-0.543452754,0.807790337,1.156428869,0.817265066,-0.261720203,0.597615061,0.91590176,-0.26589918,-0.109714349,-0.021703895,0.785336361,1.155280761,0.227882285,0.344389121,0.840708943,1.487639438,-0.190102529,0.052643361,0.566573626,0.124644815,-0.583126436,0.192354082,0.141819561,0.138196092,0.247932269,-0.221628476,0.446037472,-0.599166046,-0.398753867,-0.411176855,0.298092575,2.447831748,-1.104375627,-1.294929449,2.900748784,1.973693936
558,Bennett,Senator,2/27/2003,1,1,1,0,0,0,0,0,0,0,0, ,0,2,27,3,1795,19.73,26.69,75.6,53.43,13.7,6.74,2.23,1.84,0,1.89,0.78,6.96,7.13,12.92,9.42,4.85,5.79,1.11,2.56,12.09,4.79,2.9,1.62,0.67,0,8.19,0.11,0.22,0.39,4.07,1.84,2.17,0.17,1.34,0.28,16.66,1.73,2.17,1.23,2.12,1,0.89,4.96,4.23,1.34,0.11,1.06,0.17,0.33,0.17,0.06,0.06,0.06,13.48,2.67,6.63,4.23,2.34,2.06,0.33,0.17,0,0,0.5,0.11,0,0,5.07,4.4,0.39,0,0.28,0,0.11,0,1.17,0,0,11.42,0.774354152,0.245133959,-0.326765307,-0.179621414,0.669610295,0.48431945,0.07312916,0.123241362,-0.39010731,-0.601399253,2.014479279,0.009753911,0.910158676,-0.105079615,0.370428585,0.883868917,2.6624121,-0.487988911,-0.226454391,-0.283232202,-0.34006395,-0.333983899,2.130595818,-0.405396208,0.094138473,-0.152946216,-0.226849646,0.113579026,0.069793046,-0.967735965,-0.953819538,-0.944899353,-0.380358235,-0.551238842,-0.226686276,-0.076207313,0.179605662,-0.437258591,0.449095522,-0.409617077,0.222891617,-0.538516946,-0.291683482,-0.210388939,1.998840901,0.052808586,-0.536450747,0.438157798,0.005828844,-0.344171076,-0.086190608,-0.494584211,0.129730722,-0.002745462,0.76837779,1.076129521,0.41020101,0.30239733,-0.54175833,-0.462421048,0.172297185,-0.166792864,-0.807910866,-0.504388368,-0.118525212,0.342519703,3.92034193,-1.114747925,-1.142337457,4.26281265,0.011836931
21,Bond,Senator,1/29/1998,1,1,1,0,0,0,0,0,0,0,0, ,0,1,29,98,431,15.96,32.02,74.71,49.42,11.83,8.12,1.16,2.32,0.23,3.48,0.93,3.71,7.89,10.67,8.12,0.46,7.19,2.09,1.86,10.44,6.5,0.93,2.09,1.16,0,11.14,0,0.46,1.39,7.89,3.25,4.41,0.46,2.78,0.7,16.94,2.32,2.78,1.39,2.32,1.39,0.23,6.96,2.09,0,0,0,0,0.7,0.23,0.23,0,0.23,9.05,1.86,4.64,2.09,2.32,3.25,0,0.46,0,0.23,0,0.46,0,0,5.1,5.1,0,0,1.16,0,0.23,0,2.78,0,0,14.39,-0.426598297,-0.545939885,0.595008788,-0.343352975,0.017329642,-0.020332061,0.581718349,-0.61053356,-0.080960502,-0.415758855,4.365875272,0.206869048,-0.943166734,0.362568274,-0.361382675,0.279385617,-1.199412767,0.060209577,0.98114956,-0.77043055,-1.225559758,0.902932519,-0.290436094,0.127265399,1.039813876,-0.152946216,0.794749804,-0.35597421,0.882650284,0.039537026,0.937262409,0.061841024,1.010369524,0.013974534,0.944631218,1.014032049,0.269806538,0.093970562,1.173558174,-0.240592078,0.401331352,-0.036549428,-1.142565426,1.048043445,0.033401872,-1.480921443,-0.822743771,-1.047789163,-0.713611743,0.41170066,0.12842258,0.080547856,-0.332793442,1.072635037,-1.184866784,0.080575947,-0.864844247,-1.25958643,-0.556702383,0.498170369,-0.827667954,0.820544899,-0.807910866,-0.018469664,-0.85015432,1.748493123,0.032756651,0.113814204,0.093399978,0.319443703,1.267528736
22,Bond,Senator,1/29/2003,1,1,1,0,0,0,0,0,0,0,0, ,0,1,29,3,1941,16.45,28.28,73.36,46.01,9.48,5.26,1.65,2.27,0,0.67,0.67,4.22,5.72,11.33,6.9,2.16,6.13,1.29,2.73,13.76,4.33,1.08,3.09,0.46,0,7.01,0.21,0.31,0.52,5.92,2.22,3.61,0.21,2.32,0.62,16.13,2.06,2.11,1.6,2.01,1.75,0.77,5.15,1.91,1.08,0.15,0.57,0.31,0.72,0.31,0.36,0.15,0,13.7,1.55,6.9,5.15,4.07,2.22,0.57,0.26,0.57,0,0.36,0.05,0.1,0,7.01,4.64,0.21,0.21,1.03,0,0.67,0,1.75,0,0,15.51,0.902901849,-0.443121268,-0.051789545,-0.591709837,-0.537352908,-0.654519789,-0.472314319,-0.274505792,-0.113163294,-0.601399253,0.210263485,-0.134797189,-0.652337208,-0.972689514,-0.146718039,-0.287898712,0.296054721,-0.354854992,-0.004649584,-0.164912603,0.556165141,-0.666721648,-0.106093563,1.260587966,-0.311150986,-0.152946216,-0.635489427,0.540445603,0.37461451,-0.836790477,-0.037981422,-0.673579252,0.513681039,-0.473278376,0.570460352,0.806367408,0.008868288,-0.140130421,0.377836901,-0.018746766,0.124749763,0.426805204,-0.44638929,-0.090837863,-0.13191543,-0.244780823,-0.432344192,-0.248742212,0.598309328,0.452558592,0.414573498,0.52035473,0.823516968,-0.38229152,0.865378649,-0.300438384,0.5831971,0.973904367,0.750902274,-0.333265899,0.899544558,0.139622304,-0.014680548,-0.504388368,-0.323381362,-0.376371509,1.546833785,-0.440056755,-0.32159588,-1.019307566,0.23770648
23,Bond,Senator,10/9/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,10,9,2,951,18.29,29.55,74.13,46.48,10.41,5.68,1.16,3.26,0,0.63,0.63,4.73,8.2,12.41,8.62,2.52,6.41,1.26,1.58,11.57,5.26,0.74,1.16,0.32,0,7.78,0,0.11,0.42,6.62,2,4.63,0.53,3.15,0,15.56,2.42,2,1.37,0.95,1.16,0.84,6.62,1.26,1.16,0.21,0.74,0.11,0.63,0.53,0.11,0,0,13.25,2.84,5.47,4.84,2.52,2.94,0,0,0,0.11,0.42,0,0,0,5.99,4.31,0.32,0,0,0,0.21,0,0.84,0,0,11.67,0.031242813,-0.057026872,0.167845183,-0.450054441,-0.460901061,-0.403543369,-0.317526305,-0.61053356,0.524451998,-0.601399253,0.151108869,-0.187361226,-0.361507682,0.553319386,0.204551366,0.511879194,0.612741954,-0.245215295,-0.041617052,-0.965309889,-0.619129295,0.005987281,-0.523936634,-0.926724589,-0.581343958,-0.152946216,-0.368834655,-0.35597421,-0.302766522,-0.937517776,0.308551919,-0.83065931,1.146958858,0.150405349,1.245594741,-0.803033554,-0.174754925,0.184009402,0.247196095,-0.261720203,-0.820980832,-0.332581554,-0.356144235,0.83410994,-0.728894574,-0.153214851,-0.276184361,-0.010429963,-0.248091363,0.268697899,1.201488521,-0.325427721,-0.332793442,-0.38229152,0.666967801,1.285072864,-0.333041451,0.747635692,-0.407261851,0.247932269,-0.827667954,-0.745577071,-0.807910866,-0.271992466,-0.235585869,1.838633627,3.418216517,0.533586306,-0.102516092,-1.706775243,0.431205497
27,Brownback,Senator,2/13/2002,1,1,1,0,0,0,0,0,0,0,0, ,0,2,13,2,352,16,26.7,69.89,45.45,8.81,4.83,0.57,1.42,0,1.99,0.85,3.98,7.1,10.8,7.67,2.27,6.82,0,1.42,13.92,3.69,1.42,2.56,0.57,0,6.25,0,0.28,0.57,6.82,2.84,3.98,0.28,3.12,0.28,11.65,1.42,1.14,0,0.28,0.85,1.14,5.4,1.14,0.85,0.57,0,0.28,0.57,0.28,0.28,0,0,16.76,2.27,9.38,5.68,1.99,3.12,0.28,0.85,0.28,0,1.14,0,0,0,7.95,2.56,0.28,0,0,0,0.28,0,0,0,0.28,11.36,-0.496154927,-0.537546528,-0.3250359,-1.230078956,-0.62844447,-0.835330759,-0.630787762,-1.015138424,-0.660610767,-0.601399253,2.162365819,0.101740975,-0.789198161,-0.1235394,-0.319100247,0.070141397,0.392820265,-0.084671452,-1.594250703,-1.076669512,0.642031401,-1.129661126,0.311749509,0.659927005,-0.098856508,-0.152946216,-0.89868115,-0.35597421,0.273007355,-0.786426827,0.407561445,-0.230899086,0.743399463,-0.336847561,1.221192293,-0.076207313,-1.434345736,-0.716378994,-0.77417748,-1.708996759,-1.418753943,-0.731581376,0.030620285,0.066466185,-0.839106108,-0.508032992,0.660774628,-1.047789163,0.471349224,0.146124104,0.307266904,0.249704346,-0.332793442,-0.38229152,2.214572418,0.584498126,2.172198225,1.360750813,-0.803279261,0.393231811,0.020787315,2.148343961,-0.418253868,-0.504388368,0.817960047,2.360231335,1.611556266,-0.246871596,0.512556348,-3.751586913,-1.490556474
33,Brownback,Senator,3/1/2005,1,1,1,0,0,0,0,0,0,0,0, ,0,3,1,5,429,15.32,25.64,75.06,49.18,10.02,4.43,1.86,1.4,0,0.47,0.7,5.59,8.39,12.82,7.93,2.1,7.69,0.23,4.43,14.69,3.5,0.23,1.63,0.23,0,7.46,0,0.47,1.63,5.59,2.33,3.03,0.47,1.17,0.23,10.26,0.23,1.63,0,0.47,0.23,0.7,4.9,1.86,2.1,0.93,0,0.93,1.86,0.47,1.17,0,0.23,15.15,2.8,8.62,3.5,1.4,1.63,0.47,0,0,0.7,0.47,0,0,0,6.53,6.76,0,0,0,0,0.23,0,0.23,0,0,13.75,-0.428359224,-0.680233587,-0.508353074,-0.278964159,-0.021709599,-0.508791545,-0.778204919,-0.130493891,-0.673491885,-0.601399253,-0.085509596,-0.095374162,0.128910734,0.670231359,0.33790364,0.191038057,0.243273516,0.255994751,-1.310833449,1.018283386,1.055262779,-1.267096284,-1.150701241,-0.394062982,-0.755039441,-0.152946216,-0.479652222,-0.35597421,0.916519335,0.281282544,-0.20134714,-0.595039222,0.153581887,0.033464651,-0.364966813,-0.205997713,-1.882128659,-1.787841185,-0.192232071,-1.708996759,-1.249236195,-1.52958102,-0.536634344,-0.248141911,-0.177836902,0.922685319,1.597733617,-1.047789163,3.222151469,2.7814607,0.986875333,3.260689871,-0.332793442,1.072635037,1.504702494,1.235909724,1.685246267,-0.230428906,-1.244128832,-0.80952551,0.596524819,-0.745577071,-0.807910866,0.974494644,-0.162422958,1.745374183,-0.290197384,-1.144397246,0.879237423,-5.007799359,-1.980073256
